id_est,n_mat,id_inst,id_seg,DNI,Esp,Fecha,Desc,img
331792975,878789,66387,3615,39397552,oncology,2023-11-26 00:10:16,pneumonia,www.seguro.com/storage/estudios/img.png
096808857,440581,55648,3307,34561571,oncology,2023-12-14 03:08:05,pneumonia,www.seguro.com/storage/estudios/img.png
013125760,752603,44702,0592,58438069,neurology,2023-05-15 09:26:30,migraine,www.seguro.com/storage/estudios/img.png
034240167,988253,28966,1106,34031650,dermatology,2023-11-10 21:18:46,flu,www.seguro.com/storage/estudios/img.png
039762224,914076,05948,9458,35048187,dermatology,2023-09-06 17:36:23,asthma,www.seguro.com/storage/estudios/img.png
859232173,237686,76130,9969,75386240,neurology,2023-11-17 19:14:21,flu,www.seguro.com/storage/estudios/img.png
708832704,151761,05723,7222,62364749,oncology,2023-01-15 00:24:50,flu,www.seguro.com/storage/estudios/img.png
836518928,449148,50354,1523,93577538,cardiology,2023-09-06 15:59:25,pneumonia,www.seguro.com/storage/estudios/img.png
927332617,940606,37724,5247,38888885,orthopedics,2023-06-12 08:18:14,pneumonia,www.seguro.com/storage/estudios/img.png
544677209,677645,85131,3353,97341179,oncology,2023-03-01 02:03:18,pneumonia,www.seguro.com/storage/estudios/img.png
603329607,679535,39301,8078,31635589,orthopedics,2023-12-11 20:52:40,pneumonia,www.seguro.com/storage/estudios/img.png
633699838,112062,98498,2026,30895569,cardiology,2023-07-27 16:34:50,pneumonia,www.seguro.com/storage/estudios/img.png
827719366,288685,25435,5637,34762087,cardiology,2023-10-16 15:40:54,migraine,www.seguro.com/storage/estudios/img.png
730812640,367737,23554,1275,04448983,neurology,2023-08-01 02:51:27,pneumonia,www.seguro.com/storage/estudios/img.png
060031593,850627,70956,7335,84822413,dermatology,2023-09-02 17:25:57,diabetes,www.seguro.com/storage/estudios/img.png
155549242,515104,81744,2262,30481148,neurology,2023-03-13 12:17:50,migraine,www.seguro.com/storage/estudios/img.png
602396272,636735,87747,9040,40253955,oncology,2023-01-14 05:32:04,pneumonia,www.seguro.com/storage/estudios/img.png
747708177,043767,30526,2769,00968777,oncology,2023-11-25 02:12:48,diabetes,www.seguro.com/storage/estudios/img.png
775488358,057872,41984,2664,95579866,oncology,2023-01-24 20:04:19,asthma,www.seguro.com/storage/estudios/img.png
628223703,032121,86778,4243,59279612,orthopedics,2023-02-08 04:10:51,pneumonia,www.seguro.com/storage/estudios/img.png
433789308,672644,87127,0437,29682803,oncology,2023-06-30 07:03:17,asthma,www.seguro.com/storage/estudios/img.png
249798963,304681,84350,1369,12322268,orthopedics,2023-10-22 06:44:23,asthma,www.seguro.com/storage/estudios/img.png
236758501,282676,62897,9320,97853738,neurology,2023-04-12 23:25:40,migraine,www.seguro.com/storage/estudios/img.png
